Unnamed: 0,Month,Europe Brent Spot Price FOB Dollars per Barrel
0,2024-04-01 00:00:00,89.94
1,2024-03-01 00:00:00,85.41
2,2024-02-01 00:00:00,83.48
3,2024-01-01 00:00:00,80.12
4,2023-12-01 00:00:00,77.63
5,nov. 2023,82.94
6,oct. 2023,90.6
7,2023-09-01 00:00:00,93.72
8,2023-08-01 00:00:00,86.15
9,2023-07-01 00:00:00,80.11
10,2023-06-01 00:00:00,74.84
11,2023-05-01 00:00:00,75.47
12,2023-04-01 00:00:00,84.64
13,2023-03-01 00:00:00,78.43
14,2023-02-01 00:00:00,82.59
15,2023-01-01 00:00:00,82.5
16,2022-12-01 00:00:00,80.92
17,nov. 2022,91.42
18,oct. 2022,93.33
19,2022-09-01 00:00:00,89.76
20,2022-08-01 00:00:00,100.45
21,2022-07-01 00:00:00,111.93
22,2022-06-01 00:00:00,122.71
23,2022-05-01 00:00:00,113.34
24,2022-04-01 00:00:00,104.58
25,2022-03-01 00:00:00,117.25
26,2022-02-01 00:00:00,97.13
27,2022-01-01 00:00:00,86.51
28,2021-12-01 00:00:00,74.17
29,nov. 2021,81.05
30,oct. 2021,83.54
31,2021-09-01 00:00:00,74.49
32,2021-08-01 00:00:00,70.75
33,2021-07-01 00:00:00,75.17
34,2021-06-01 00:00:00,73.16
35,2021-05-01 00:00:00,68.53
36,2021-04-01 00:00:00,64.81
37,2021-03-01 00:00:00,65.41
38,2021-02-01 00:00:00,62.28
39,2021-01-01 00:00:00,54.77
40,2020-12-01 00:00:00,49.99
41,nov. 2020,42.69
42,oct. 2020,40.19
43,2020-09-01 00:00:00,40.91
44,2020-08-01 00:00:00,44.74
45,2020-07-01 00:00:00,43.24
46,2020-06-01 00:00:00,40.27
47,2020-05-01 00:00:00,29.38
48,2020-04-01 00:00:00,18.38
49,2020-03-01 00:00:00,32.01
50,2020-02-01 00:00:00,55.66
51,2020-01-01 00:00:00,63.65
52,2019-12-01 00:00:00,67.31
53,nov. 2019,63.21
54,oct. 2019,59.71
55,2019-09-01 00:00:00,62.83
56,2019-08-01 00:00:00,59.04
57,2019-07-01 00:00:00,63.92
58,2019-06-01 00:00:00,64.22
59,2019-05-01 00:00:00,71.32
60,2019-04-01 00:00:00,71.23
61,2019-03-01 00:00:00,66.14
62,2019-02-01 00:00:00,63.96
63,2019-01-01 00:00:00,59.41
64,2018-12-01 00:00:00,57.36
65,nov. 2018,64.75
66,oct. 2018,81.03
67,2018-09-01 00:00:00,78.89
68,2018-08-01 00:00:00,72.53
69,2018-07-01 00:00:00,74.25
70,2018-06-01 00:00:00,74.41
71,2018-05-01 00:00:00,76.98
72,2018-04-01 00:00:00,72.11
73,2018-03-01 00:00:00,66.02
74,2018-02-01 00:00:00,65.32
75,2018-01-01 00:00:00,69.08
76,2017-12-01 00:00:00,64.37
77,nov. 2017,62.71
78,oct. 2017,57.51
79,2017-09-01 00:00:00,56.15
80,2017-08-01 00:00:00,51.7
81,2017-07-01 00:00:00,48.48
82,2017-06-01 00:00:00,46.37
83,2017-05-01 00:00:00,50.33
84,2017-04-01 00:00:00,52.31
85,2017-03-01 00:00:00,51.59
86,2017-02-01 00:00:00,54.87
87,2017-01-01 00:00:00,54.58
88,2016-12-01 00:00:00,53.31
89,nov. 2016,44.73
90,oct. 2016,49.52
91,2016-09-01 00:00:00,46.57
92,2016-08-01 00:00:00,45.84
93,2016-07-01 00:00:00,44.95
94,2016-06-01 00:00:00,48.25
95,2016-05-01 00:00:00,46.74
96,2016-04-01 00:00:00,41.58
97,2016-03-01 00:00:00,38.21
98,2016-02-01 00:00:00,32.18
99,2016-01-01 00:00:00,30.7
100,2015-12-01 00:00:00,38.01
101,nov. 2015,44.27
102,oct. 2015,48.43
103,2015-09-01 00:00:00,47.62
104,2015-08-01 00:00:00,46.52
105,2015-07-01 00:00:00,56.56
106,2015-06-01 00:00:00,61.48
107,2015-05-01 00:00:00,64.08
108,2015-04-01 00:00:00,59.52
109,2015-03-01 00:00:00,55.89
110,2015-02-01 00:00:00,58.1
111,2015-01-01 00:00:00,47.76
112,2014-12-01 00:00:00,62.34
113,nov. 2014,79.44
114,oct. 2014,87.43
115,2014-09-01 00:00:00,97.09
116,2014-08-01 00:00:00,101.61
117,2014-07-01 00:00:00,106.77
118,2014-06-01 00:00:00,111.8
119,2014-05-01 00:00:00,109.54
120,2014-04-01 00:00:00,107.76
121,2014-03-01 00:00:00,107.48
122,2014-02-01 00:00:00,108.9
123,2014-01-01 00:00:00,108.12
124,2013-12-01 00:00:00,110.76
125,nov. 2013,107.79
126,oct. 2013,109.08
127,2013-09-01 00:00:00,111.6
128,2013-08-01 00:00:00,111.28
