Year,Europe Brent Spot Price FOB Dollars per Barrel,prix quotas,prix electricité par kwt,emission de CO2,Bioenergy,Clean,Coal,Fossil,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind,Wind and solar
1987,18.5225,,,,,,,,,,,,,,,
1988,14.948333333333332,,,,,,,,,,,,,,,
1989,18.25166666666667,,,,,,,,,,,,,,,
1990,23.675833333333333,,,,,,,,,,,,,,,
1991,20.010833333333334,,,,,,,,,,,,,,,
1992,19.305833333333336,,,,,,,,,,,,,,,
1993,17.0425,,,,,,,,,,,,,,,
1994,15.840833333333334,,,,,,,,,,,,,,,
1995,17.044166666666666,,,,,,,,,,,,,,,
1996,20.635,,,,,,,,,,,,,,,
1997,19.118333333333336,,,,,,,,,,,,,,,
1998,12.779166666666667,,,,,,,,,,,,,,,
1999,17.846666666666668,,,,,,,,,,,,,,,
2000,28.522499999999997,,,,,,,,,,,,,,,
2001,24.45,,,,,,,,,,,,,,,
2002,24.963333333333335,,,,,,,,,,,,,,,
2003,28.882499999999997,,,,,,,,,,,,,,,
2004,38.23,,,,,,,,,,,,,,,
2005,54.41833333333333,20.70846153846154,,1771563344,,,,,,,,,,,,
2006,65.14666666666666,17.32888888888889,,1784628820,,,,,,,,,,,,
2007,72.465,0.65612,,1908149616,,,,,,,,,,,,
2008,96.84750000000001,17.37884920634921,,1835256139,,,,,,,,,,,,
2009,61.49,13.15123015873016,,1628443358,,,,,,,,,,,,
2010,79.51166666666667,14.335669291338583,,1682183096,,,,,,,,,,,,
2011,111.26416666666667,12.940748031496062,,1664430607,,,,,,,,,,,,
2012,111.65166666666666,7.382629482071713,,1617340801,,,,,,,,,,,,
2013,108.6375,4.4698,,1656264030,,,,,,,,,,,,
2014,99.02333333333333,5.94901185770751,,1588956381,,,,,,,,,,,,
2015,52.35333333333333,7.68193675889328,37.8095,1599417160,109.92999999999999,2411.91,1072.64,2246.76,1074.21,768.77,1112.43,99.91,4.95,106.11,309.72,415.83
2016,43.54833333333334,5.349766536964981,35.591203703703705,1576281847,119.89,2468.89,966.44,2299.44,1244.57,807.77,1087.68,88.43,31.38,108.72,313.45,422.16999999999996
2017,54.2475,5.828549019607843,41.79690476190476,1590460216,129.21,2496.63,955.41,2323.7799999999997,1271.81,750.02,1088.66,96.56,36.42,118.12,374.2,492.32
2018,71.06083333333333,15.820316205533597,50.262589285714284,1527125378,135.11,2588.77,952.53,2273.35,1223.22,807.1700000000001,1091.54,97.6,28.05,131.63,395.27,526.9
2019,64.35833333333333,24.83932806324111,45.32288690476191,1385331147,134.67,2662.47,810.4100000000001,2171.51,1258.92,802.72,1099.75,102.18,29.89,145.28,450.16,595.44
2020,41.759166666666665,24.7588671875,33.79252976190476,1225114370,137.06,2701.01,696.89,1979.8999999999999,1187.34,846.38,1012.98,95.67,30.61,170.76,503.21999999999997,673.98
2021,70.6775,53.5397265625,101.6210119047619,1308778363,146.65,2769.19,759.11,2123.69,1264.71,832.48,1074.17,99.87,31.16,190.13,494.6,684.73
2022,100.77749999999999,80.82081712062256,230.65455357142858,1285777879,143.56,2634.66,795.23,2131.45,1237.74,739.61,938.74,98.48,31.16,232.39,549.2,781.5899999999999
2023,82.46833333333333,83.47070588235293,97.5442959770115,1064062890,129.86,2759.58,685.75,1907.05,1129.45,802.1,927.43,91.85,30.26,272.97,596.96,869.93
2024,84.7375,59.59952380952381,68.22689655172414,,59.25,1256.88,263.49,760.88,460.06,385.53000000000003,396.5,37.33,12.98,120.75,281.87,402.62
