Year,Europe Brent Spot Price FOB Dollars per Barrel,prix quotas,prix electricité par kwt,emission de CO2,production energie
1987,18.5225,,,,
1988,14.948333333333332,,,,
1989,18.25166666666667,,,,
1990,23.675833333333333,,,,
1991,20.010833333333334,,,,
1992,19.305833333333336,,,,
1993,17.0425,,,,
1994,15.840833333333334,,,,
1995,17.044166666666666,,,,
1996,20.635,,,,
1997,19.118333333333336,,,,
1998,12.779166666666667,,,,
1999,17.846666666666668,,,,
2000,28.522499999999997,,,,
2001,24.45,,,,
2002,24.963333333333335,,,,
2003,28.882499999999997,,,,
2004,38.23,,,,
2005,54.41833333333333,20.70846153846154,,1771563344,
2006,65.14666666666666,17.32888888888889,,1784628820,
2007,72.465,0.65612,,1908149616,
2008,96.84750000000001,17.37884920634921,,1835256139,
2009,61.49,13.15123015873016,,1628443358,
2010,79.51166666666667,14.335669291338583,,1682183096,
2011,111.26416666666667,12.940748031496062,,1664430607,
2012,111.65166666666666,7.382629482071713,,1617340801,
2013,108.6375,4.4698,,1656264030,7.295
2014,99.02333333333333,5.94901185770751,,1588956381,7.675
2015,52.35333333333333,7.68193675889328,37.8095,1599417160,7.784
2016,43.54833333333334,5.349766536964981,35.591203703703705,1576281847,7.841
2017,54.2475,5.828549019607843,41.79690476190476,1590460216,7.909
2018,71.06083333333333,15.820316205533597,50.262589285714284,1527125378,8.142
2019,64.35833333333333,24.83932806324111,45.32288690476191,1385331147,8.365
2020,41.759166666666665,24.7588671875,33.79252976190476,1225114370,8.596
2021,70.6775,53.5397265625,101.6210119047619,1308778363,8.592
2022,100.77749999999999,80.82081712062256,230.65455357142858,1285777879,9.309
2023,82.46833333333333,83.47070588235293,97.5442959770115,1064062890,
2024,84.7375,59.59952380952381,68.22689655172414,,
