Year,Europe Brent Spot Price FOB Dollars per Barrel
1987,18.5225
1988,14.948333333333332
1989,18.25166666666667
1990,23.675833333333333
1991,20.010833333333334
1992,19.305833333333336
1993,17.0425
1994,15.840833333333334
1995,17.044166666666666
1996,20.635
1997,19.118333333333336
1998,12.779166666666667
1999,17.846666666666668
2000,28.522499999999997
2001,24.45
2002,24.963333333333335
2003,28.882499999999997
2004,38.23
2005,54.41833333333333
2006,65.14666666666666
2007,72.465
2008,96.84750000000001
2009,61.49
2010,79.51166666666667
2011,111.26416666666667
2012,111.65166666666666
2013,108.6375
2014,99.02333333333333
2015,52.35333333333333
2016,43.54833333333334
2017,54.2475
2018,71.06083333333333
2019,64.35833333333333
2020,41.759166666666665
2021,70.6775
2022,100.77749999999999
2023,82.46833333333333
2024,84.7375
