country_or_region;date;variable;generation_twh
Europe;2015-01-01;Bioenergy;9.42
Europe;2015-01-01;Clean;236.98
Europe;2015-01-01;Coal;106.83
Europe;2015-01-01;Fossil;217.83
Europe;2015-01-01;Gas;102.36
Europe;2015-01-01;Hydro;75.98
Europe;2015-01-01;Nuclear;113.58
Europe;2015-01-01;Other Fossil;8.64
Europe;2015-01-01;Other Renewables;0.37
Europe;2015-01-01;Solar;2.88
Europe;2015-01-01;Wind;34.75
Europe;2015-01-01;Wind and solar;37.63
Europe;2015-02-01;Bioenergy;8.79
Europe;2015-02-01;Clean;213.47
Europe;2015-02-01;Coal;98.14
Europe;2015-02-01;Fossil;205.27
Europe;2015-02-01;Gas;99.26
Europe;2015-02-01;Hydro;72.72
Europe;2015-02-01;Nuclear;99.28
Europe;2015-02-01;Other Fossil;7.87
Europe;2015-02-01;Other Renewables;0.4
Europe;2015-02-01;Solar;4.65
Europe;2015-02-01;Wind;27.63
Europe;2015-02-01;Wind and solar;32.28
Europe;2015-03-01;Bioenergy;9.29
Europe;2015-03-01;Clean;222.97
Europe;2015-03-01;Coal;97.7
Europe;2015-03-01;Fossil;196.45
Europe;2015-03-01;Gas;90.91
Europe;2015-03-01;Hydro;75.98
Europe;2015-03-01;Nuclear;99.42
Europe;2015-03-01;Other Fossil;7.84
Europe;2015-03-01;Other Renewables;0.42
Europe;2015-03-01;Solar;8.41
Europe;2015-03-01;Wind;29.45
Europe;2015-03-01;Wind and solar;37.86
Europe;2015-04-01;Bioenergy;8.71
Europe;2015-04-01;Clean;198.02
Europe;2015-04-01;Coal;84.25
Europe;2015-04-01;Fossil;162.75
Europe;2015-04-01;Gas;71.21
Europe;2015-04-01;Hydro;66.11
Europe;2015-04-01;Nuclear;87.52
Europe;2015-04-01;Other Fossil;7.29
Europe;2015-04-01;Other Renewables;0.39
Europe;2015-04-01;Solar;12.43
Europe;2015-04-01;Wind;22.86
Europe;2015-04-01;Wind and solar;35.29
Europe;2015-05-01;Bioenergy;8.76
Europe;2015-05-01;Clean;201.26
Europe;2015-05-01;Coal;72.39
Europe;2015-05-01;Fossil;147.36
Europe;2015-05-01;Gas;67.03
Europe;2015-05-01;Hydro;71.39
Europe;2015-05-01;Nuclear;82.64
Europe;2015-05-01;Other Fossil;7.94
Europe;2015-05-01;Other Renewables;0.42
Europe;2015-05-01;Solar;13.19
Europe;2015-05-01;Wind;24.86
Europe;2015-05-01;Wind and solar;38.05
Europe;2015-06-01;Bioenergy;8.28
Europe;2015-06-01;Clean;188.86
Europe;2015-06-01;Coal;78.26
Europe;2015-06-01;Fossil;154.35
Europe;2015-06-01;Gas;68.68
Europe;2015-06-01;Hydro;65.2
Europe;2015-06-01;Nuclear;83.16
Europe;2015-06-01;Other Fossil;7.41
Europe;2015-06-01;Other Renewables;0.4
Europe;2015-06-01;Solar;13.77
Europe;2015-06-01;Wind;18.05
Europe;2015-06-01;Wind and solar;31.82
Europe;2015-07-01;Bioenergy;8.37
Europe;2015-07-01;Clean;186.98
Europe;2015-07-01;Coal;86.92
Europe;2015-07-01;Fossil;180.74
Europe;2015-07-01;Gas;86.13
Europe;2015-07-01;Hydro;56.25
Europe;2015-07-01;Nuclear;86.32
Europe;2015-07-01;Other Fossil;7.69
Europe;2015-07-01;Other Renewables;0.43
Europe;2015-07-01;Solar;14.42
Europe;2015-07-01;Wind;21.19
Europe;2015-07-01;Wind and solar;35.61
Europe;2015-08-01;Bioenergy;9.07
Europe;2015-08-01;Clean;181.41
Europe;2015-08-01;Coal;82.89
Europe;2015-08-01;Fossil;169.06
Europe;2015-08-01;Gas;77.84
Europe;2015-08-01;Hydro;54.57
Europe;2015-08-01;Nuclear;86.24
Europe;2015-08-01;Other Fossil;8.33
Europe;2015-08-01;Other Renewables;0.42
Europe;2015-08-01;Solar;13.01
Europe;2015-08-01;Wind;18.1
Europe;2015-08-01;Wind and solar;31.11
Europe;2015-09-01;Bioenergy;8.95
Europe;2015-09-01;Clean;176.18
Europe;2015-09-01;Coal;87.22
Europe;2015-09-01;Fossil;179.93
Europe;2015-09-01;Gas;84.06
Europe;2015-09-01;Hydro;52.12
Europe;2015-09-01;Nuclear;83.97
Europe;2015-09-01;Other Fossil;8.65
Europe;2015-09-01;Other Renewables;0.38
Europe;2015-09-01;Solar;9.92
Europe;2015-09-01;Wind;20.84
Europe;2015-09-01;Wind and solar;30.76
Europe;2015-10-01;Bioenergy;9.84
Europe;2015-10-01;Clean;187.58
Europe;2015-10-01;Coal;98.48
Europe;2015-10-01;Fossil;214.1
Europe;2015-10-01;Gas;106.6
Europe;2015-10-01;Hydro;58.88
Europe;2015-10-01;Nuclear;92.05
Europe;2015-10-01;Other Fossil;9.02
Europe;2015-10-01;Other Renewables;0.41
Europe;2015-10-01;Solar;6.14
Europe;2015-10-01;Wind;20.26
Europe;2015-10-01;Wind and solar;26.4
Europe;2015-11-01;Bioenergy;10.03
Europe;2015-11-01;Clean;201.42
Europe;2015-11-01;Coal;90.47
Europe;2015-11-01;Fossil;210.6
Europe;2015-11-01;Gas;111.01
Europe;2015-11-01;Hydro;59.37
Europe;2015-11-01;Nuclear;93.6
Europe;2015-11-01;Other Fossil;9.12
Europe;2015-11-01;Other Renewables;0.45
Europe;2015-11-01;Solar;4.22
Europe;2015-11-01;Wind;33.75
Europe;2015-11-01;Wind and solar;37.97
Europe;2015-12-01;Bioenergy;10.42
Europe;2015-12-01;Clean;216.78
Europe;2015-12-01;Coal;89.09
Europe;2015-12-01;Fossil;208.32
Europe;2015-12-01;Gas;109.12
Europe;2015-12-01;Hydro;60.2
Europe;2015-12-01;Nuclear;104.65
Europe;2015-12-01;Other Fossil;10.11
Europe;2015-12-01;Other Renewables;0.46
Europe;2015-12-01;Solar;3.07
Europe;2015-12-01;Wind;37.98
Europe;2015-12-01;Wind and solar;41.05
Europe;2016-01-01;Bioenergy;11.17
Europe;2016-01-01;Clean;237.09
Europe;2016-01-01;Coal;95
Europe;2016-01-01;Fossil;217.74
Europe;2016-01-01;Gas;114.18
Europe;2016-01-01;Hydro;73.6
Europe;2016-01-01;Nuclear;109.8
Europe;2016-01-01;Other Fossil;8.56
Europe;2016-01-01;Other Renewables;2.73
Europe;2016-01-01;Solar;3.17
Europe;2016-01-01;Wind;36.62
Europe;2016-01-01;Wind and solar;39.79
Europe;2016-02-01;Bioenergy;10.33
Europe;2016-02-01;Clean;230.72
Europe;2016-02-01;Coal;80.65
Europe;2016-02-01;Fossil;181.42
Europe;2016-02-01;Gas;93.24
Europe;2016-02-01;Hydro;76.21
Europe;2016-02-01;Nuclear;99.4
Europe;2016-02-01;Other Fossil;7.53
Europe;2016-02-01;Other Renewables;2.56
Europe;2016-02-01;Solar;4.84
Europe;2016-02-01;Wind;37.38
Europe;2016-02-01;Wind and solar;42.22
Europe;2016-03-01;Bioenergy;10.81
Europe;2016-03-01;Clean;229.93
Europe;2016-03-01;Coal;84.11
Europe;2016-03-01;Fossil;189.56
Europe;2016-03-01;Gas;98.06
Europe;2016-03-01;Hydro;77.23
Europe;2016-03-01;Nuclear;103.22
Europe;2016-03-01;Other Fossil;7.39
Europe;2016-03-01;Other Renewables;2.65
Europe;2016-03-01;Solar;8.3
Europe;2016-03-01;Wind;27.72
Europe;2016-03-01;Wind and solar;36.02
Europe;2016-04-01;Bioenergy;9.84
Europe;2016-04-01;Clean;213.51
Europe;2016-04-01;Coal;70.31
Europe;2016-04-01;Fossil;159.6
Europe;2016-04-01;Gas;82.85
Europe;2016-04-01;Hydro;76.54
Europe;2016-04-01;Nuclear;88.05
Europe;2016-04-01;Other Fossil;6.44
Europe;2016-04-01;Other Renewables;2.5
Europe;2016-04-01;Solar;11.24
Europe;2016-04-01;Wind;25.34
Europe;2016-04-01;Wind and solar;36.58
Europe;2016-05-01;Bioenergy;9.95
Europe;2016-05-01;Clean;207.48
Europe;2016-05-01;Coal;64.59
Europe;2016-05-01;Fossil;150.34
Europe;2016-05-01;Gas;79.05
Europe;2016-05-01;Hydro;77.7
Europe;2016-05-01;Nuclear;79.84
Europe;2016-05-01;Other Fossil;6.7
Europe;2016-05-01;Other Renewables;2.62
Europe;2016-05-01;Solar;13.5
Europe;2016-05-01;Wind;23.87
Europe;2016-05-01;Wind and solar;37.37
Europe;2016-06-01;Bioenergy;9.18
Europe;2016-06-01;Clean;195.44
Europe;2016-06-01;Coal;70.15
