Year,Europe Brent Spot Price FOB Dollars per Barrel,prix quotas,prix electricité par kwt,emission de CO2,Bioenergy,Clean,Coal,Fossil,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind,Wind and solar
1987,18.5225,,,,,,,,,,,,,,,
1988,14.948333333333332,,,,,,,,,,,,,,,
1989,18.25166666666667,,,,,,,,,,,,,,,
1990,23.675833333333333,,,,,,,,,,,,,,,
1991,20.01083333333333,,,,,,,,,,,,,,,
1992,19.305833333333336,,,,,,,,,,,,,,,
1993,17.0425,,,,,,,,,,,,,,,
1994,15.840833333333334,,,,,,,,,,,,,,,
1995,17.044166666666666,,,,,,,,,,,,,,,
1996,20.635,,,,,,,,,,,,,,,
1997,19.118333333333336,,,,,,,,,,,,,,,
1998,12.779166666666669,,,,,,,,,,,,,,,
1999,17.846666666666668,,,,,,,,,,,,,,,
2000,28.5225,,,,,,,,,,,,,,,
2001,24.45,,,,,,,,,,,,,,,
2002,24.96333333333333,,,,,,,,,,,,,,,
2003,28.8825,,,,,,,,,,,,,,,
2004,38.23,,,,,,,,,,,,,,,
2005,54.41833333333333,20.70846153846154,,1771563344.0,,,,,,,,,,,,
2006,65.14666666666666,17.32888888888889,,1784628820.0,,,,,,,,,,,,
2007,72.465,0.65612,,1908149616.0,,,,,,,,,,,,
2008,96.8475,17.37884920634921,,1835256139.0,,,,,,,,,,,,
2009,61.49,13.15123015873016,,1628443358.0,,,,,,,,,,,,
2010,79.51166666666667,14.335669291338585,,1682183096.0,,,,,,,,,,,,
2011,111.26416666666668,12.940748031496062,,1664430607.0,,,,,,,,,,,,
2012,111.65166666666666,7.382629482071713,,1617340801.0,,,,,,,,,,,,
2013,108.6375,4.4698,,1656264030.0,,,,,,,,,,,,
2014,99.02333333333333,5.94901185770751,,1588956381.0,,,,,,,,,,,,
2015,52.35333333333333,7.68193675889328,37.8095,1599417160.0,109.93,2411.91,1072.64,2246.76,1074.21,768.77,1112.43,99.91,4.95,106.11,309.72,415.83
2016,43.54833333333334,5.349766536964981,35.591203703703705,1576281847.0,119.89,2468.89,966.44,2299.44,1244.57,807.77,1087.68,88.43,31.38,108.72,313.45,422.17
2017,54.2475,5.828549019607843,41.79690476190476,1590460216.0,129.21,2496.63,955.41,2323.78,1271.81,750.02,1088.66,96.56,36.42,118.12,374.2,492.32
2018,71.06083333333333,15.820316205533596,50.26258928571429,1527125378.0,135.11,2588.77,952.53,2273.35,1223.22,807.1700000000001,1091.54,97.6,28.05,131.63,395.27,526.9
2019,64.35833333333333,24.83932806324111,45.32288690476191,1385331147.0,134.67,2662.47,810.4100000000001,2171.51,1258.92,802.72,1099.75,102.18,29.89,145.28,450.16,595.44
2020,41.759166666666665,24.7588671875,33.79252976190476,1225114370.0,137.06,2701.01,696.89,1979.9,1187.34,846.38,1012.98,95.67,30.61,170.76,503.22,673.98
2021,70.6775,53.5397265625,101.6210119047619,1308778363.0,146.65,2769.19,759.11,2123.69,1264.71,832.48,1074.17,99.87,31.16,190.13,494.6,684.73
2022,100.7775,80.82081712062256,230.65455357142855,1285777879.0,143.56,2634.66,795.23,2131.45,1237.74,739.61,938.74,98.48,31.16,232.39,549.2,781.5899999999999
2023,82.46833333333333,83.47070588235293,97.5442959770115,1064062890.0,129.86,2759.58,685.75,1907.05,1129.45,802.1,927.43,91.85,30.26,272.97,596.96,869.93
2024,338.95,238.39809523809524,272.90758620689655,1088479375.4058166,237.0,5027.52,1053.96,3043.52,1840.24,1542.12,1586.0,149.32,51.92,483.0,1127.48,1610.48
